País,Año,Real,Predicho,Residual,Residual_Abs
ARGENTINA,2021,150000000.0,5.073005e+07,-99269952.0,99269952.0
ARGENTINA,2022,115000000.0,5.151427e+07,-63485728.0,63485728.0
ARGENTINA,2023,625000000.0,5.146952e+07,-573530480.0,573530480.0
ARGENTINA,2024,230000000.0,4.894599e+07,-181054008.0,181054008.0
ARGENTINA,2025,127500000.0,4.8884252e+07,-78615748.0,78615748.0
BELICE,2022,24000000.0,1.983335e+07,-4166650.0,4166650.0
BELICE,2023,2500000.0,1.8130576e+07,15630576.0,15630576.0
COLOMBIA,2022,250000000.0,6.8562216e+07,-181437784.0,181437784.0
COLOMBIA,2023,250000000.0,6.169163e+07,-188308368.0,188308368.0
COLOMBIA,2025,75000000.0,6.0584984e+07,-14415016.0,14415016.0
COSTA RICA,2021,580000000.0,5.7081517e+08,-9184832.0,9184832.0
COSTA RICA,2022,1190000000.0,5.0892285e+08,-681077152.0,681077152.0
COSTA RICA,2023,1000000000.0,4.6923075e+08,-530769248.0,530769248.0
COSTA RICA,2024,770000000.0,3.9730093e+08,-372699072.0,372699072.0
COSTA RICA,2025,815000000.0,3.873016e+08,-427698400.0,427698400.0
EL SALVADOR,2021,884700000.0,4.6828694e+08,-416413056.0,416413056.0
EL SALVADOR,2022,896000000.0,4.3075328e+08,-465246720.0,465246720.0
EL SALVADOR,2024,263900000.0,4.0310163e+08,139201632.0,139201632.0
EL SALVADOR,2025,350000000.0,3.940531e+08,44053088.0,44053088.0
GUATEMALA,2021,7000000.0,1.1504695e+08,108046952.0,108046952.0
GUATEMALA,2022,270000000.0,1.3189496e+08,-138105040.0,138105040.0
GUATEMALA,2023,15000000.0,1.3878931e+08,123789312.0,123789312.0
GUATEMALA,2024,19000000.0,1.4189976e+08,122899760.0,122899760.0
GUATEMALA,2025,175000000.0,1.4398813e+08,-31011872.0,31011872.0
HONDURAS,2021,720266365.18,4.268567e+08,-293409661.17999995,293409661.17999995
HONDURAS,2022,485000000.0,3.535447e+08,-131455296.0,131455296.0
HONDURAS,2023,786988111.14,3.2198054e+08,-465007567.14,465007567.14
HONDURAS,2024,476300000.0,3.0549766e+08,-170802336.0,170802336.0
HONDURAS,2025,465000000.0,3.0148806e+08,-163511936.0,163511936.0
NICARAGUA,2021,812903013.99,6.0679584e+08,-206107173.99,206107173.99
NICARAGUA,2022,200000000.0,5.1203693e+08,312036928.0,312036928.0
NICARAGUA,2024,130000000.0,4.3515408e+08,305154080.0,305154080.0
NICARAGUA,2025,235000000.0,3.319021e+08,96902112.0,96902112.0
PANAMÁ,2021,125000000.0,2.4587704e+08,120877040.0,120877040.0
PANAMÁ,2022,230000000.0,2.3586624e+08,5866240.0,5866240.0
PANAMÁ,2024,240000000.0,2.234731e+08,-16526896.0,16526896.0
PANAMÁ,2025,108200000.0,2.1369869e+08,105498688.0,105498688.0
REPÚBLICA DOMINICANA,2021,410000000.0,9.2800536e+07,-317199464.0,317199464.0
REPÚBLICA DOMINICANA,2022,580000000.0,9.988577e+07,-480114232.0,480114232.0
REPÚBLICA DOMINICANA,2023,908226411.0,1.0069068e+08,-807535731.0,807535731.0
REPÚBLICA DOMINICANA,2024,100000000.0,1.0542731e+08,5427312.0,5427312.0
REPÚBLICA DOMINICANA,2025,180900000.0,1.098079e+08,-71092096.0,71092096.0
