fold,train_years,test_years,MAPE,RMSE,MAE,País
1,2015-2023,2024-2025,0.1319420180733163,24218646.783891127,23417304.0,ARGENTINA
2,2015-2021,2022-2023,0.6223933773913044,394745320.41351444,298736664.0,ARGENTINA
3,2015-2019,2020-2021,0.3531784666666667,69411261.6240578,50368150.0,ARGENTINA
1,2005-2022,2023-2025,0.4080761386666667,103787455.23183317,81611776.0,COLOMBIA
2,2005-2015,2017-2022,0.6739346079999999,124286047.53507213,102763972.0,COLOMBIA
3,2005-2011,2014-2015,0.3229898282352941,57056284.11559463,41647940.0,COLOMBIA
1,1963-2023,2024-2025,0.09991173139988846,94614820.98845293,77578496.0,COSTA RICA
2,1963-2021,2022-2023,0.5088027857478992,564687693.1818916,559543344.0,COSTA RICA
3,1963-2019,2020-2021,0.27163160821765076,179068566.59159112,176068448.0,COSTA RICA
1,1962-2022,2024-2025,1.4213036031223947,424944128.69524586,414646992.0,EL SALVADOR
2,1962-2020,2021-2022,0.4949656760160829,441505573.9614266,440829888.0,EL SALVADOR
3,1962-2018,2019-2020,0.5227230311780688,312751285.7180478,311828637.74,EL SALVADOR
1,1961-2023,2024-2025,2.174154567218045,74406709.3311805,74406560.0,GUATEMALA
2,1961-2021,2022-2023,2.517641466666667,147022957.19167203,131098668.0,GUATEMALA
3,1961-2019,2020-2021,88.17537066666667,210832900.9256246,210529552.0,GUATEMALA
1,1962-2023,2024-2025,0.4634952889599263,219151773.35489485,218338992.0,HONDURAS
2,1962-2021,2022-2023,0.2437311920320476,222087377.75531825,177852439.57,HONDURAS
3,1962-2019,2020-2021,0.8300327819339712,709353841.0821086,699448169.065,HONDURAS
1,1962-2022,2024-2025,0.3691244438625204,63133160.5323985,62994304.0,NICARAGUA
2,1962-2020,2021-2022,0.9068646227488586,264430720.23293862,259072050.995,NICARAGUA
3,1962-2018,2019-2020,0.49451304859854295,336780335.6378391,335561889.5,NICARAGUA
1,2005-2022,2024-2025,0.4521606391866913,64421714.00068396,63629208.0,PANAMÁ
2,2005-2020,2021-2022,0.4962608556521739,85573569.43267938,63371640.0,PANAMÁ
3,2005-2018,2019-2020,0.5514040643478261,142024470.80452713,141817680.0,PANAMÁ
1,2007-2023,2024-2025,3.6364130423438366,455451657.0071164,451804720.0,REPÚBLICA DOMINICANA
2,2007-2021,2022-2023,0.7598986714174297,600717052.6093335,575747093.5,REPÚBLICA DOMINICANA
3,2007-2018,2020-2021,2.0347386276422763,212156404.94174427,191897576.0,REPÚBLICA DOMINICANA
